station_id,station_name,latitude,longitude,malecount,femalecount,SUM,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,age101,age20m,age20f,age25m,age25f,age30m,age30f,age35m,age35f,age40m,age40f,age45m,age45f,age50m,age50f,age55m,age55f,age60m,age60f,age65m,age65f,age70m,age70f,age75m,age75f,age80m,age80f,age85m,age85f,age90m,age90f,age95m,age95f,age100m,age100f,age101m,age101f
257,Lispenard St & Broadway,40.71939226,-74.00247214,35212,11447,54166,541,3243,7518,9479,6298,5756,4508,3683,1933,1810,1636,376,11,5,3,4,0,7365,472,61,2356,887,5108,2381,6836,2538,4866,1426,4594,1161,3539,969,2834,849,1377,556,1419,391,1426,210,363,13,11,0,3,0,0,3,0,3,0,0,7,0
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,9669,4707,16464,54,336,2228,3855,2145,2478,1664,867,449,290,17,10,0,0,0,0,0,2071,33,21,133,203,1377,847,2587,1266,1394,750,1709,742,1192,472,639,227,319,130,252,38,9,8,7,0,0,0,0,0,0,0,0,0,0,0,18,0
259,South St & Whitehall St,40.70122128,-74.01234218,23760,7321,41889,167,1375,4730,6349,3742,3142,3649,2944,2906,1222,551,255,9,0,0,0,0,10848,138,19,978,397,3261,1450,5321,969,2951,789,2266,876,2703,946,2315,628,2225,677,898,324,334,217,228,27,7,0,0,0,0,0,0,0,0,0,135,0
260,Broad St & Bridge St,40.70365182,-74.01167797,18657,4420,26363,277,889,3099,4736,3761,3549,2905,1923,1126,610,242,18,2,0,0,0,0,3225,204,72,692,197,2227,872,3879,856,3466,294,2930,619,2291,552,1464,459,838,288,534,76,113,129,14,4,0,2,0,0,0,0,0,0,0,0,4,0
261,Johnson St & Gold St,40.69474881,-73.98362464,14427,4096,21497,14,1357,3937,5617,2457,1747,1651,562,1171,31,14,15,0,0,0,0,0,2923,8,6,1017,326,3131,775,4060,1557,1718,738,1543,204,1345,301,434,128,1118,53,24,7,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Washington Park,40.6917823,-73.9737299,8162,3153,12341,7,339,1912,3065,2134,1439,980,689,269,248,235,3,0,0,0,0,0,1021,7,0,269,70,1543,369,2392,667,1444,689,829,610,656,324,357,332,202,67,224,24,235,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
263,Elizabeth St & Hester St,40.71729,-73.996375,39618,15704,61995,824,3297,10286,10502,6926,5797,6261,3722,2870,2655,1704,235,162,117,8,8,9,6620,629,192,2170,1109,7432,2848,7746,2745,4735,2187,4356,1421,4248,2012,2461,1258,1931,939,2077,578,1464,240,148,87,128,34,71,46,0,8,0,8,9,0,13,0
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,26786,8019,38434,184,2942,8671,5587,5525,3161,3652,2101,1550,564,678,58,7,141,0,0,0,3613,167,13,2222,720,6321,2336,4502,1085,4420,1105,2572,581,2892,760,1616,485,899,651,470,94,640,37,52,6,2,0,0,141,0,0,0,0,0,0,11,0
265,Stanton St & Chrystie St,40.72229346,-73.99147535,36534,16032,59080,616,3563,10642,10429,6799,5487,5553,3766,3031,1798,748,158,22,7,0,0,0,6459,513,99,2315,1239,7265,3365,7765,2634,4372,2425,4119,1365,3921,1632,2039,1727,2003,1028,1455,343,630,118,112,46,16,6,3,4,0,0,0,0,0,0,5,0
266,Avenue D & E 8 St,40.72368361,-73.97574813,12755,5694,20039,135,1668,5176,3544,1608,1343,1723,1106,880,1044,37,187,7,0,0,0,0,1581,129,6,1021,647,3653,1523,2646,898,1324,283,1101,240,1032,684,563,543,155,725,938,106,29,8,156,31,7,0,0,0,0,0,0,0,0,0,0,0
267,Broadway & W 36 St,40.75097711,-73.98765428,29874,6434,42664,202,1442,6546,7301,5478,4354,4329,3140,1990,1190,228,101,3,0,0,0,0,6343,171,31,983,459,5370,1174,5711,1590,4676,794,3700,652,3726,600,2462,678,1732,258,1046,141,174,54,98,3,3,0,0,0,0,0,0,0,0,0,5,0
